=== Файл: ServerLog_2025-02-17 13.48.txt ===
17.02.2025 13:48:09.9423 [ERROR] ConvertToBunkers          Бункера не найдены или не настроены
17.02.2025 13:59:34.8751 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:34.9789 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:35.4153 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:35.4681 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:35.5589 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:37.7944 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:38.0836 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 13:59:58.9399 [ERROR] ConvertToBunkers          Бункера не найдены или не настроены
17.02.2025 14:02:19.5545 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:19.5545 [ERROR] LineHandler_LineIdentifierMatch 241103001.179125 Технострой. Код проекта на контроллере не совпадает с кодом проекта на сервере. Возможно, на контроллере установлена программа, предназначенная для другого проекта
17.02.2025 14:02:19.6572 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:19.7789 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:19.9883 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:20.6676 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:20.8092 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:21.8123 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:21.9559 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:22.6374 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:22.7750 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:23.4571 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:24.5586 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:24.6225 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:25.3747 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:25.4694 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:26.2043 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:26.3369 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:27.3383 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:27.4361 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:28.1542 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:28.2953 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:28.9775 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:29.1163 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
17.02.2025 14:02:29.7961 [ERROR] .ctor                     241103001.179125 Технострой. Регистрация сервера завершилась с ошибкой: "Не совпадают коды проектов SmartMix и PLC: 241103001 VS 0"
